"","interval","data","forecast"
"403",2018-01-05 04:30:00,734.4,NA
"404",2018-01-05 04:45:00,738.72,NA
"405",2018-01-05 05:00:00,751.68,NA
"406",2018-01-05 05:15:00,754.56,NA
"407",2018-01-05 05:30:00,750.24,NA
"408",2018-01-05 05:45:00,754.56,NA
"409",2018-01-05 06:00:00,753.12,NA
"410",2018-01-05 06:15:00,754.56,NA
"411",2018-01-05 06:30:00,763.2,NA
"412",2018-01-05 06:45:00,761.76,NA
"413",2018-01-05 07:00:00,774.72,NA
"414",2018-01-05 07:15:00,781.92,NA
"415",2018-01-05 07:30:00,774.72,NA
"416",2018-01-05 07:45:00,776.16,NA
"417",2018-01-05 08:00:00,774.72,NA
"418",2018-01-05 08:15:00,768.96,NA
"419",2018-01-05 08:30:00,776.16,NA
"420",2018-01-05 08:45:00,781.92,NA
"421",2018-01-05 09:00:00,793.44,NA
"422",2018-01-05 09:15:00,804.96,NA
"423",2018-01-05 09:30:00,813.6,NA
"424",2018-01-05 09:45:00,820.8,NA
"425",2018-01-05 10:00:00,826.56,NA
"426",2018-01-05 10:15:00,823.68,NA
"427",2018-01-05 10:30:00,829.44,NA
"428",2018-01-05 10:45:00,830.88,NA
"429",2018-01-05 11:00:00,835.2,NA
"430",2018-01-05 11:15:00,836.64,NA
"431",2018-01-05 11:30:00,835.2,NA
"432",2018-01-05 11:45:00,833.76,NA
"433",2018-01-05 12:00:00,836.64,NA
"434",2018-01-05 12:15:00,836.64,NA
"435",2018-01-05 12:30:00,835.2,NA
"436",2018-01-05 12:45:00,833.76,NA
"437",2018-01-05 13:00:00,833.76,NA
"438",2018-01-05 13:15:00,836.64,NA
"439",2018-01-05 13:30:00,780.48,NA
"440",2018-01-05 13:45:00,753.12,NA
"441",2018-01-05 14:00:00,724.32,NA
"442",2018-01-05 14:15:00,698.4,NA
"443",2018-01-05 14:30:00,691.2,NA
"444",2018-01-05 14:45:00,685.44,NA
"445",2018-01-05 15:00:00,756,NA
"446",2018-01-05 15:15:00,817.92,NA
"447",2018-01-05 15:30:00,820.8,NA
"448",2018-01-05 15:45:00,822.24,NA
"449",2018-01-05 16:00:00,825.12,NA
"450",2018-01-05 16:15:00,828,NA
"451",2018-01-05 16:30:00,832.32,NA
"452",2018-01-05 16:45:00,829.44,NA
"453",2018-01-05 17:00:00,830.88,NA
"454",2018-01-05 17:15:00,832.32,NA
"455",2018-01-05 17:30:00,825.12,NA
"456",2018-01-05 17:45:00,820.8,NA
"457",2018-01-05 18:00:00,815.04,NA
"458",2018-01-05 18:15:00,810.72,NA
"459",2018-01-05 18:30:00,812.16,NA
"460",2018-01-05 18:45:00,804.96,NA
"461",2018-01-05 19:00:00,789.12,NA
"462",2018-01-05 19:15:00,771.84,NA
"463",2018-01-05 19:30:00,774.72,NA
"464",2018-01-05 19:45:00,777.6,NA
"465",2018-01-05 20:00:00,774.72,NA
"466",2018-01-05 20:15:00,777.6,NA
"467",2018-01-05 20:30:00,770.4,NA
"468",2018-01-05 20:45:00,766.08,NA
"469",2018-01-05 21:00:00,764.64,NA
"470",2018-01-05 21:15:00,768.96,NA
"471",2018-01-05 21:30:00,767.52,NA
"472",2018-01-05 21:45:00,768.96,NA
"473",2018-01-05 22:00:00,760.32,NA
"474",2018-01-05 22:15:00,758.88,NA
"475",2018-01-05 22:30:00,756,NA
"476",2018-01-05 22:45:00,756,NA
"477",2018-01-05 23:00:00,753.12,NA
"478",2018-01-05 23:15:00,754.56,NA
"479",2018-01-05 23:30:00,750.24,NA
"480",2018-01-05 23:45:00,745.92,NA
"481",2018-01-06 00:00:00,753.12,NA
"482",2018-01-06 00:15:00,758.88,NA
"483",2018-01-06 00:30:00,758.88,NA
"484",2018-01-06 00:45:00,763.2,NA
"485",2018-01-06 01:00:00,761.76,NA
"486",2018-01-06 01:15:00,764.64,NA
"487",2018-01-06 01:30:00,757.44,NA
"488",2018-01-06 01:45:00,758.88,NA
"489",2018-01-06 02:00:00,760.32,NA
"490",2018-01-06 02:15:00,758.88,NA
"491",2018-01-06 02:30:00,758.88,NA
"492",2018-01-06 02:45:00,753.12,NA
"493",2018-01-06 03:00:00,750.24,NA
"494",2018-01-06 03:15:00,741.6,NA
"495",2018-01-06 03:30:00,743.04,NA
"496",2018-01-06 03:45:00,750.24,NA
"497",2018-01-06 04:00:00,748.8,NA
"498",2018-01-06 04:15:00,750.24,NA
"499",2018-01-06 04:30:00,748.8,NA
"500",2018-01-06 04:45:00,750.24,NA
"501",2018-01-06 05:00:00,763.2,NA
"502",2018-01-06 05:15:00,764.64,NA
"503",2018-01-06 05:30:00,763.2,NA
"504",2018-01-06 05:45:00,764.64,NA
"505",2018-01-06 06:00:00,770.4,NA
"506",2018-01-06 06:15:00,776.16,NA
"507",2018-01-06 06:30:00,773.28,NA
"508",2018-01-06 06:45:00,777.6,NA
"509",2018-01-06 07:00:00,784.8,NA
"510",2018-01-06 07:15:00,789.12,NA
"511",2018-01-06 07:30:00,783.36,NA
"512",2018-01-06 07:45:00,786.24,NA
"513",2018-01-06 08:00:00,777.6,NA
"514",2018-01-06 08:15:00,779.04,NA
"515",2018-01-06 08:30:00,779.04,NA
"516",2018-01-06 08:45:00,779.04,NA
"517",2018-01-06 09:00:00,773.28,NA
"518",2018-01-06 09:15:00,766.08,NA
"519",2018-01-06 09:30:00,763.2,NA
"520",2018-01-06 09:45:00,768.96,NA
"521",2018-01-06 10:00:00,773.28,NA
"522",2018-01-06 10:15:00,786.24,NA
"523",2018-01-06 10:30:00,787.68,NA
"524",2018-01-06 10:45:00,790.56,NA
"525",2018-01-06 11:00:00,787.68,NA
"526",2018-01-06 11:15:00,789.12,NA
"527",2018-01-06 11:30:00,787.68,NA
"528",2018-01-06 11:45:00,790.56,NA
"529",2018-01-06 12:00:00,792,NA
"530",2018-01-06 12:15:00,792,NA
"531",2018-01-06 12:30:00,794.88,NA
"532",2018-01-06 12:45:00,790.56,NA
"533",2018-01-06 13:00:00,799.2,NA
"534",2018-01-06 13:15:00,792,NA
"535",2018-01-06 13:30:00,796.32,NA
"536",2018-01-06 13:45:00,793.44,NA
"537",2018-01-06 14:00:00,789.12,NA
"538",2018-01-06 14:15:00,797.76,NA
"539",2018-01-06 14:30:00,797.76,NA
"540",2018-01-06 14:45:00,792,NA
"541",2018-01-06 15:00:00,799.2,NA
"542",2018-01-06 15:15:00,794.88,NA
"543",2018-01-06 15:30:00,806.4,NA
"544",2018-01-06 15:45:00,796.32,NA
"545",2018-01-06 16:00:00,793.44,NA
"546",2018-01-06 16:15:00,797.76,NA
"547",2018-01-06 16:30:00,802.08,NA
"548",2018-01-06 16:45:00,802.08,NA
"549",2018-01-06 17:00:00,804.96,NA
"550",2018-01-06 17:15:00,806.4,NA
"551",2018-01-06 17:30:00,802.08,NA
"552",2018-01-06 17:45:00,806.4,NA
"553",2018-01-06 18:00:00,800.64,NA
"554",2018-01-06 18:15:00,803.52,NA
"555",2018-01-06 18:30:00,800.64,NA
"556",2018-01-06 18:45:00,797.76,NA
"557",2018-01-06 19:00:00,776.16,NA
"558",2018-01-06 19:15:00,767.52,NA
"559",2018-01-06 19:30:00,773.28,NA
"560",2018-01-06 19:45:00,768.96,NA
"561",2018-01-06 20:00:00,774.72,NA
"562",2018-01-06 20:15:00,779.04,NA
"563",2018-01-06 20:30:00,779.04,NA
"564",2018-01-06 20:45:00,770.4,NA
"565",2018-01-06 21:00:00,767.52,NA
"566",2018-01-06 21:15:00,763.2,NA
"567",2018-01-06 21:30:00,766.08,NA
"568",2018-01-06 21:45:00,763.2,NA
"569",2018-01-06 22:00:00,764.64,NA
"570",2018-01-06 22:15:00,767.52,NA
"571",2018-01-06 22:30:00,770.4,NA
"572",2018-01-06 22:45:00,770.4,NA
"573",2018-01-06 23:00:00,763.2,NA
"574",2018-01-06 23:15:00,758.88,NA
"575",2018-01-06 23:30:00,760.32,NA
"576",2018-01-06 23:45:00,758.88,NA
"577",2018-01-07 00:00:00,760.32,NA
"578",2018-01-07 00:15:00,760.32,NA
"579",2018-01-07 00:30:00,768.96,NA
"580",2018-01-07 00:45:00,767.52,NA
"581",2018-01-07 01:00:00,766.08,NA
"582",2018-01-07 01:15:00,753.12,NA
"583",2018-01-07 01:30:00,751.68,NA
"584",2018-01-07 01:45:00,760.32,NA
"585",2018-01-07 02:00:00,764.64,NA
"586",2018-01-07 02:15:00,763.2,NA
"587",2018-01-07 02:30:00,766.08,NA
"588",2018-01-07 02:45:00,760.32,NA
"589",2018-01-07 03:00:00,761.76,NA
"590",2018-01-07 03:15:00,764.64,NA
"591",2018-01-07 03:30:00,760.32,NA
"592",2018-01-07 03:45:00,758.88,NA
"593",2018-01-07 04:00:00,758.88,NA
"594",2018-01-07 04:15:00,757.44,NA
"595",2018-01-07 04:30:00,760.32,NA
"596",2018-01-07 04:45:00,758.88,NA
"597",2018-01-07 05:00:00,771.84,NA
"598",2018-01-07 05:15:00,776.16,NA
"599",2018-01-07 05:30:00,771.84,NA
"600",2018-01-07 05:45:00,766.08,NA
"601",2018-01-07 06:00:00,777.6,NA
"602",2018-01-07 06:15:00,786.24,NA
"603",2018-01-07 06:30:00,780.48,NA
"604",2018-01-07 06:45:00,783.36,NA
"605",2018-01-07 07:00:00,789.12,NA
"606",2018-01-07 07:15:00,796.32,NA
"607",2018-01-07 07:30:00,800.64,NA
"608",2018-01-07 07:45:00,800.64,NA
