"","x"
"783",716.240656631708
"784",715.94374859899
"785",720.390080334742
"786",717.792237590801
"787",718.27570715261
"788",710.144982765223
"789",711.941048770964
"790",716.963276263492
"791",722.961652009543
"792",725.177240344549
"793",722.030998483838
"794",746.941669673652
"795",748.460377177976
"796",748.065731482105
"797",757.115674462599
"798",781.038769154871
"799",798.956334434468
"800",795.14613642037
"801",793.986300480315
"802",796.26681093023
"803",800.226731077072
"804",799.404563791183
"805",811.388855846082
"806",820.142238208164
"807",826.92067758179
"808",811.550337931434
"809",836.326188966602
"810",832.358335018404
"811",836.025754733343
"812",833.372346945239
"813",822.995102700842
"814",824.84589391675
"815",820.084453692745
"816",820.564589347231
"817",826.134305208416
"818",828.842807081176
"819",823.482153409803
"820",822.281740603895
"821",821.002520795922
"822",824.129964606805
"823",821.305595278501
"824",817.529449598402
"825",719.324962225039
"826",822.396932512296
"827",818.051926678444
"828",815.655859450077
"829",924.245096308291
"830",816.634625428235
"831",821.447270326357
"832",831.948600969456
"833",825.033395339471
"834",813.011945386415
"835",845.636293000256
"836",838.266546520681
"837",822.674793380542
"838",850.512690223201
"839",849.564777876519
"840",846.909880455097
"841",828.023817736338
"842",793.813228836446
"843",786.512184937093
"844",790.239526720773
"845",789.685254397132
"846",781.831146246858
"847",773.715054783955
"848",771.773962277437
"849",770.21301659518
"850",764.445768648854
"851",758.362307687628
"852",761.967279543161
"853",760.639814030105
"854",758.199310565585
"855",752.793256738288
"856",754.072430837879
"857",749.062005574709
"858",745.565454087281
"859",743.615952369291
"860",741.673867288203
"861",749.879652187029
"862",747.384940456735
"863",756.281740013499
"864",745.330642262399
"865",743.19265753586
"866",742.920711454717
"867",739.788907930465
"868",744.161560268432
"869",749.946625768366
"870",745.473662822263
"871",748.188001485881
"872",743.05179271473
"873",735.892811934614
"874",730.11013379205
"875",730.446526443794
"876",735.469698366905
"877",730.176752802035
"878",730.050423395882
"879",729.751488377563
"880",742.00621743288
"881",750.72685228304
"882",739.38408019608
"883",739.705168411583
"884",743.626119060899
"885",738.989796166646
"886",733.935328975542
"887",748.193225841895
"888",753.504600286707
"889",750.867279971126
"890",756.349950452137
"891",758.994209799515
"892",765.827820898351
"893",785.01897678835
"894",797.572772917801
"895",770.795344066082
"896",666.923290420164
"897",711.91059597511
"898",761.412544421131
"899",765.438095503695
"900",764.818322955895
"901",788.710610413865
"902",785.610603111841
"903",788.004019091014
"904",789.535959221408
"905",796.483902486158
"906",807.390408315865
"907",806.357621516519
"908",808.016198053316
"909",803.208268275608
"910",798.708703708002
"911",803.84740511898
"912",798.323013507797
"913",804.789998033584
"914",798.395568170118
"915",798.952546303859
"916",798.731359635369
"917",796.795639534222
"918",798.23061851482
"919",776.719829936124
"920",798.593979999441
"921",829.629089062332
"922",804.175114516976
"923",800.921840022366
"924",798.590712514369
"925",791.849981524668
"926",780.090470763627
"927",787.027382192521
"928",787.780929131196
"929",790.946401608245
"930",797.311065909056
"931",790.005992811388
"932",790.669432438837
"933",787.768391012498
"934",793.051907784181
"935",786.240660095336
"936",778.283012089218
"937",763.09174224617
"938",753.668998804642
"939",745.288622254463
"940",746.526018862994
"941",743.558426280425
"942",719.309639170365
"943",750.416790464142
"944",740.404029996393
"945",725.961453978778
"946",712.998430795158
"947",718.888413731682
"948",715.198223104481
"949",712.182747394616
"950",705.237996107992
"951",704.197242791873
"952",705.027622390357
"953",712.524588582967
"954",711.125624480866
